dateTime,value
01/04/2025 00:00,1.222
01/04/2025 00:15,1.227
01/04/2025 00:30,1.232
01/04/2025 00:45,1.236
01/04/2025 01:00,1.239
01/04/2025 01:15,1.241
01/04/2025 01:30,1.244
01/04/2025 01:45,1.246
01/04/2025 02:00,1.248
01/04/2025 02:15,1.251
01/04/2025 02:30,1.254
01/04/2025 02:45,1.257
01/04/2025 03:00,1.261
01/04/2025 03:15,1.262
01/04/2025 03:30,1.264
01/04/2025 03:45,1.265
01/04/2025 04:00,1.27
01/04/2025 04:15,1.27
01/04/2025 04:30,1.273
01/04/2025 04:45,1.276
01/04/2025 05:00,1.282
01/04/2025 05:15,1.278
01/04/2025 05:30,1.279
01/04/2025 05:45,1.276
01/04/2025 06:00,1.277
01/04/2025 06:15,1.279
01/04/2025 06:30,1.284
01/04/2025 06:45,1.285
01/04/2025 07:00,1.286
01/04/2025 07:15,1.281
01/04/2025 07:30,1.285
01/04/2025 07:45,1.287
01/04/2025 08:00,1.283
01/04/2025 08:15,1.289
01/04/2025 08:30,1.286
01/04/2025 08:45,1.284
01/04/2025 09:00,1.288
01/04/2025 09:15,1.292
01/04/2025 09:30,1.293
01/04/2025 09:45,1.295
01/04/2025 10:00,1.294
01/04/2025 10:15,1.293
01/04/2025 10:30,1.292
01/04/2025 10:45,1.294
01/04/2025 11:00,1.288
01/04/2025 11:15,1.293
01/04/2025 11:30,1.293
01/04/2025 11:45,1.294
01/04/2025 12:00,1.306
01/04/2025 12:15,1.305
01/04/2025 12:30,1.299
01/04/2025 12:45,1.312
01/04/2025 13:00,1.316
01/04/2025 13:15,1.32
01/04/2025 13:30,1.319
01/04/2025 13:45,1.326
01/04/2025 14:00,1.328
01/04/2025 14:15,1.328
01/04/2025 14:30,1.332
01/04/2025 14:45,1.334
01/04/2025 15:00,1.333
01/04/2025 15:15,1.338
01/04/2025 15:30,1.341
01/04/2025 15:45,1.341
01/04/2025 16:00,1.344
01/04/2025 16:15,1.346
01/04/2025 16:30,1.347
01/04/2025 16:45,1.349
01/04/2025 17:00,1.349
01/04/2025 17:15,1.35
